strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
USA/CO-CDC-MMB09343340/2021	2021-07-09	9.00	21A (Delta)	USA	0.00	Colorado	B.1.617.2 (Delta)	202127	MZ650733	Homo sapiens	AY.20	Older	North America		Howard et al DE				3.51
Liechtenstein/FL-Risch-2172603123/2021	2021-07-25	7.00	21A (Delta)	Liechtenstein	0.00	Liechtenstein	B.1.617.2 (Delta)	202130	OU579088	Homo sapiens	AY.20	3-7 days ago	Europe		? AZ				3.51
USA/PR-CDC-ASC210109271/2021	2021-06-14	8.00	21A (Delta)	USA	0.00	Puerto Rico	B.1.617.2 (Delta)	202124	MZ566292	Homo sapiens	AY.20	Older	North America		Howard et al DF				3.51
USA/CA-CDC-FG-064126/2021	2021-08-05	8.00	21A (Delta)	USA	0.00	California	B.1.617.2 (Delta)	202131	MZ811754	Homo sapiens	AY.20	One month ago	North America		Howard et al DG				3.51
BHR/342424627/2021	2021-08-01	8.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202131	MZ769245	Homo sapiens	B.1.617.2	One month ago	Asia		Alwasti et al ER				3.51
PAK/JRCGR_SCV-100/2021	2021-07-01	8.00	21A (Delta)	Pakistan	0.00	Karachi	B.1.617.2 (Delta)	202126	MZ676659	Homo sapiens	B.1.617.2	One month ago	Asia		Irfan et al B				3.51
PAK/JRCGR_SCV-101/2021	2021-07-09	8.00	21A (Delta)	Pakistan	0.00	Karachi	B.1.617.2 (Delta)	202127	MZ676660	Homo sapiens	B.1.617.2	One month ago	Asia		Irfan et al C				3.51
OU514776	2021-07-11	8.00	21A (Delta)	Germany	0.00	Hesse	B.1.617.2 (Delta)	202128	OU514776	Homo sapiens	B.1.617.2	One month ago	Europe		? C				3.51
Switzerland/GE-HUG-34779560/2021	2021-07-15	8.00	21A (Delta)	Switzerland	0.00	Geneva	B.1.617.2 (Delta)	202128	OU572705	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? BA				3.51
Switzerland/GE-HUG-34919000/2021	2021-07-30	8.00	21A (Delta)	Switzerland	0.00	Geneva	B.1.617.2 (Delta)	202130	OU576212	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? BB				3.51
Switzerland/GE-HUG-34989027/2021	2021-08-07	8.00	21A (Delta)	Switzerland	0.00	Geneva	B.1.617.2 (Delta)	202131	OU579410	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? BC				3.51
OU567516	2021-07-28	8.00	21A (Delta)	Germany	0.00	Hesse	B.1.617.2 (Delta)	202130	OU567516	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? C				3.51
OU567200	2021-08-04	9.00	21A (Delta)	Germany	0.00	Bavaria	B.1.617.2 (Delta)	202131	OU567200	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? C				3.51
OU517763	2021-07-29	8.00	21A (Delta)	Germany	0.00	North Rhine Westphalia	B.1.617.2 (Delta)	202130	OU517763	Homo sapiens	B.1.617.2	One month ago	Europe		? C				3.51
Switzerland/BE-IFIK-1887-2452/2021	2021-08-15	8.00	21A (Delta)	Switzerland	0.01	Bern	B.1.617.2 (Delta)	202133	OU576933	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? BD				3.51
Switzerland/ZH-UZH-IMV-3ba4d48c/2021	2021-08-01	8.00	21A (Delta)	Switzerland	0.00	Zürich	B.1.617.2 (Delta)	202131	OU576593	Homo sapiens	AY.4	3-7 days ago	Europe		? BE				3.51
Switzerland/BE-ETHZ-33672006/2021	2021-08-05	9.00	21A (Delta)	Switzerland	0.00	Bern	B.1.617.2 (Delta)	202131	OU577539	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? BF				3.51
USA/SD-CDC-IBX078245611077/2021	2021-08-10	9.00	21A (Delta)	USA	0.01	South Dakota	B.1.617.2 (Delta)	202132	MZ896209	Homo sapiens	AY.25	3-7 days ago	North America		Howard et al DH				3.51
BHR/342427909/2021	2021-08-01	8.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202131	MZ769183	Homo sapiens	B.1.617.2	One month ago	Asia		Alwasti et al ES				3.51
UZB/hCoV-19-Uzb-CGB-35/2021	2021-07-23	8.00	21A (Delta)	Uzbekistan	0.00	Tashkent	B.1.617.2 (Delta)	202129	MZ892622	Homo sapiens	AY.4	One week ago	Asia		Ayubov et al H				3.51
PAK/JRCGR_SCV-103/2021	2021-07-13	9.00	21A (Delta)	Pakistan	0.00	Karachi	B.1.617.2 (Delta)	202128	MZ676662	Homo sapiens	B.1.617.2	One month ago	Asia		Irfan et al D				3.51
BHR/342395048/2021	2021-07-22	8.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202129	MZ665033	Homo sapiens	B.1.617.2	Older	Asia		Alwasti et al ET				3.51
OU567253	2021-08-11	8.00	21A (Delta)	Germany	0.01	Bavaria	B.1.617.2 (Delta)	202132	OU567253	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? C				3.51
Switzerland/VD-HUG-34727772/2021	2021-07-04	8.00	21A (Delta)	Switzerland	0.00	Vaud	B.1.617.2 (Delta)	202127	OU572746	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? BG				3.51
UZB/UZB-402/2021	2021-06-25	8.00	21A (Delta)	Uzbekistan	0.00	Tashkent	B.1.617.2 (Delta)	202125	MZ573393	Homo sapiens	B.1.617.2	Older	Asia		Abdullaev et al L				3.51
OU566327	2021-08-05	8.00	21A (Delta)	Germany	0.00	Baden-Wuerttemberg	B.1.617.2 (Delta)	202131	OU566327	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? C				3.51
FIN/hCoV19-Fin-THL202117309/2021	2021-05-05	8.00	21A (Delta)	Finland		Finland	B.1.617.2 (Delta)	202118	MZ945494	Homo sapiens	B.1.617.2	3-7 days ago	Europe		Laine et al B				
OU567648	2021-08-10	8.00	21A (Delta)	Germany	0.01	Hesse	B.1.617.2 (Delta)	202132	OU567648	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? C				3.51
IND/GBRC1278/2021	2021-07-12	9.00	21A (Delta)	India	0.00	India	B.1.617.2 (Delta)	202128	MZ713389	Homo sapiens	B.1.617.2	One month ago	Asia		Sharma et al H				3.51
OU567646	2021-08-08	8.00	21A (Delta)	Germany	0.01	Hesse	B.1.617.2 (Delta)	202132	OU567646	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? C				3.51
BHR/342472289/2021	2021-08-14	8.00	21A (Delta)	Bahrain	0.01	Bahrain	B.1.617.2 (Delta)	202132	MZ914495	Homo sapiens	B.1.617.2	3-7 days ago	Asia		Alwasti et al EU				3.51
BHR/921226416/2021	2021-07-28	8.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202130	MZ769278	Homo sapiens	B.1.617.2	One month ago	Asia		Alwasti et al EV				3.51
BHR/921307672/2021	2021-08-15	8.00	21A (Delta)	Bahrain	0.01	Bahrain	B.1.617.2 (Delta)	202133	MZ914561	Homo sapiens	B.1.617.2	3-7 days ago	Asia		Alwasti et al EW				3.51
BHR/342472297/2021	2021-08-14	8.00	21A (Delta)	Bahrain	0.01	Bahrain	B.1.617.2 (Delta)	202132	MZ914498	Homo sapiens	B.1.617.2	3-7 days ago	Asia		Alwasti et al EX				3.51
BHR/342472349/2021	2021-08-14	8.00	21A (Delta)	Bahrain	0.01	Bahrain	B.1.617.2 (Delta)	202132	MZ914503	Homo sapiens	B.1.617.2	3-7 days ago	Asia		Alwasti et al EY				3.51
BHR/342472317/2021	2021-08-14	8.00	21A (Delta)	Bahrain	0.01	Bahrain	B.1.617.2 (Delta)	202132	MZ914502	Homo sapiens	B.1.617.2	3-7 days ago	Asia		Alwasti et al EZ				3.51
BHR/342416212/2021	2021-07-29	8.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202130	MZ707603	Homo sapiens	B.1.617.2	One month ago	Asia		Alwasti et al FA				3.51
BHR/342426487/2021	2021-08-01	8.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202131	MZ769171	Homo sapiens	B.1.617.2	One month ago	Asia		Alwasti et al FB				3.51
USA/TN-CDC-ASC210158751/2021	2021-07-17	8.00	21A (Delta)	USA	0.00	Tennessee	B.1.617.2 (Delta)	202128	MZ742415	Homo sapiens	B.1.617.2	One month ago	North America		Howard et al DI				1.46
USA/NMDOH-2021134677/2021	2021-07-09	8.00	21A (Delta)	USA	0.00	New Mexico	B.1.617.2 (Delta)	202127	MZ662132	Homo sapiens	B.1.617.2	Older	North America		Johnson et al E				1.46
USA/ND-CDC-MMB09572224/2021	2021-08-03	9.00	21A (Delta)	USA	0.00	North Dakota	B.1.617.2 (Delta)	202131	MZ876831	Homo sapiens	B.1.617.2	One week ago	North America		Howard et al DJ				1.46
USA/PR-CDC-FG-082865/2021	2021-08-10	8.00	21A (Delta)	USA	0.01	Puerto Rico	B.1.617.2 (Delta)	202132	MZ929092	Homo sapiens	B.1.617.2	3-7 days ago	North America		Howard et al DK				1.46
USA/NV-CDC-FG-078828/2021	2021-08-13	8.00	21A (Delta)	USA	0.01	Nevada	B.1.617.2 (Delta)	202132	MZ894595	Homo sapiens	B.1.617.2	One week ago	North America		Howard et al DL				1.46
USA/ME-CDC-QDX27611312/2021	2021-08-04	8.00	21A (Delta)	USA	0.00	Maine	B.1.617.2 (Delta)	202131	MZ929426	Homo sapiens	B.1.617.2	3-7 days ago	North America		Howard et al DM				1.03
UZB/UZB-392/2021	2021-06-25	8.00	21A (Delta)	Uzbekistan	0.00	Tashkent	B.1.617.2 (Delta)	202125	MZ573388	Homo sapiens	B.1.617.2	Older	Asia		Abdullaev et al M				0.90
BHR/921068973/2021	2021-06-26	9.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202125	MZ620578	Homo sapiens	B.1.617.2	Older	Asia		Alwasti et al FC				0.98
BHR/342312089/2021	2021-06-25	8.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202125	MZ620618	Homo sapiens	B.1.617.2	Older	Asia		Alwasti et al FD				0.98
BHR/790500426/2021	2021-07-14	8.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202128	MZ676197	Homo sapiens	B.1.617.2	One month ago	Asia		Alwasti et al FE				0.98
IND/GBRC1275/2021	2021-05-30	8.00	21A (Delta)	India		India	B.1.617.2 (Delta)	202122	MZ713382	Homo sapiens	B.1.617.2	One month ago	Asia		Savaliya et al F				
Switzerland/SZ-ETHZ-33628195/2021	2021-07-31	8.00	21A (Delta)	Switzerland	0.00	Schwyz	B.1.617.2 (Delta)	202130	OU575011	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? BH				1.33
OU570303	2021-08-06	8.00	21A (Delta)	Germany	0.00	Saxony	B.1.617.2 (Delta)	202131	OU570303	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? C				1.33
IND/GBRC1277/2021	2021-07-10	8.00	21A (Delta)	India	0.00	India	B.1.617.2 (Delta)	202127	MZ713384	Homo sapiens	B.1.617.2	One month ago	Asia		Soni et al G				1.12
IND/GBRC1288/2021	2021-07-14	8.00	21A (Delta)	India	0.00	India	B.1.617.2 (Delta)	202128	MZ713407	Homo sapiens	B.1.617.2	One month ago	Asia		Pandit et al G				1.12
IND/GBRC1276/2021	2021-07-10	8.00	21A (Delta)	India	0.00	India	B.1.617.2 (Delta)	202127	MZ713388	Homo sapiens	B.1.617.2	One month ago	Asia		Kumar et al K				1.12
IND/GBRC1289/2021	2021-07-14	8.00	21A (Delta)	India	0.00	India	B.1.617.2 (Delta)	202128	MZ713394	Homo sapiens	B.1.617.2	One month ago	Asia		Raval et al H				1.12
IND/GBRC1292/2021	2021-07-14	8.00	21A (Delta)	India	0.00	India	B.1.617.2 (Delta)	202128	MZ713397	Homo sapiens	B.1.617.2	One month ago	Asia		Kumar et al L				1.12
IND/GBRC1290/2021	2021-07-14	8.00	21A (Delta)	India	0.00	India	B.1.617.2 (Delta)	202128	MZ713398	Homo sapiens	B.1.617.2	One month ago	Asia		Patel et al I				1.12
IND/GBRC1291/2021	2021-07-14	8.00	21A (Delta)	India	0.00	India	B.1.617.2 (Delta)	202128	MZ713399	Homo sapiens	B.1.617.2	One month ago	Asia		Savaliya et al G				1.12
USA/MD-CDC-LC0110601/2021	2021-07-15	8.00	21A (Delta)	USA	0.00	Maryland	B.1.617.2 (Delta)	202128	MZ784888	Homo sapiens	B.1.617.2	One month ago	North America		Howard et al DN				1.12
USA/SD-CDC-2-4718137/2021	2021-07-27	8.00	21A (Delta)	USA	0.00	South Dakota	B.1.617.2 (Delta)	202130	MZ828222	Homo sapiens	B.1.617.2	One week ago	North America		Sheth et al P				1.12
USA/AZ-4960/2021	2021-08-15	8.00	21A (Delta)	USA	0.01	Arizona	B.1.617.2 (Delta)	202133	MZ959391	Homo sapiens		1-2 days ago	North America		Contursi et al B				1.12
USA/NC-CDC-LC0140190/2021	2021-07-29	8.00	21A (Delta)	USA	0.00	North Carolina	B.1.617.2 (Delta)	202130	MZ858352	Homo sapiens	B.1.617.2	One week ago	North America		Howard et al DO				1.12
USA/AL-CDC-FG-066431/2021	2021-08-03	8.00	21A (Delta)	USA	0.00	Alabama	B.1.617.2 (Delta)	202131	MZ845930	Homo sapiens	B.1.617.2	One week ago	North America		Howard et al DP				1.12
USA/OH-CDC-QDX26765510/2021	2021-07-09	9.00	21A (Delta)	USA	0.00	Ohio	B.1.617.2 (Delta)	202127	MZ694820	Homo sapiens	B.1.617.2	One month ago	North America		Howard et al DQ				1.12
OU565899	2021-08-10	9.00	21A (Delta)	Germany	0.01	Berlin	B.1.617.2 (Delta)	202132	OU565899	Homo sapiens	B.1.617.2	3-7 days ago	Europe		? C				1.12
USA/MI-CDC-2-4653375/2021	2021-07-02	8.00	21A (Delta)	USA	0.00	Michigan	B.1.617.2 (Delta)	202126	MZ709136	Homo sapiens	B.1.617.2	One month ago	North America		Sheth et al Q				1.12
USA/OH-CDC-QDX27691108/2021	2021-08-08	8.00	21A (Delta)	USA	0.01	Ohio	B.1.617.2 (Delta)	202132	MZ945121	Homo sapiens	B.1.617.2	3-7 days ago	North America		Howard et al DR				1.12
OU451171	2021-06-08	8.00	21A (Delta)	Germany		Baden-Wuerttemberg	B.1.617.2 (Delta)	202123	OU451171	Homo sapiens	B.1.617.2	Older	Europe		? C				
BHR/342409950/2021	2021-07-28	9.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202130	MZ769217	Homo sapiens	B.1.617.2	One month ago	Asia		Alwasti et al FF				1.12
BHR/342312279/2021	2021-06-26	8.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202125	MZ620625	Homo sapiens	B.1.617.2	Older	Asia		Alwasti et al FG				1.12
BHR/342312282/2021	2021-06-26	8.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202125	MZ620627	Homo sapiens	B.1.617.2	Older	Asia		Alwasti et al FH				1.12
BHR/342312277/2021	2021-06-26	8.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202125	MZ620623	Homo sapiens	B.1.617.2	Older	Asia		Alwasti et al FI				1.12
BHR/342312278/2021	2021-06-26	8.00	21A (Delta)	Bahrain	0.00	Bahrain	B.1.617.2 (Delta)	202125	MZ620624	Homo sapiens	B.1.617.2	Older	Asia		Alwasti et al FJ				1.12
England/MILK-15F0681/2021	2021-05-31	8.00	21A (Delta)	United Kingdom		England	B.1.617.2 (Delta)	202122	OU308792	Homo sapiens	AY.4	Older	Europe		The Lighthouse Lab in Milton et al B				
England/ALDP-154D166/2021	2021-04-30	8.00	21A (Delta)	United Kingdom		England	B.1.617.2 (Delta)	202117	OU265379	Homo sapiens	AY.4	Older	Europe		Wynn et al B				
England/QEUH-1874190/2021	2021-07-03	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202126	OU414462	Homo sapiens	B.1.617.2	Older	Europe		VanSteenhouse et al A				2.66
OU514355	2021-07-05	8.00	21A (Delta)	Germany	0.00	Baden-Wuerttemberg	B.1.617.2 (Delta)	202127	OU514355	Homo sapiens	AY.4	One month ago	Europe		? C				2.86
Switzerland/SH-ETHZ-33668339/2021	2021-08-05	8.00	21A (Delta)	Switzerland	0.00	Schaffhausen	B.1.617.2 (Delta)	202131	OU578063	Homo sapiens	AY.4	3-7 days ago	Europe		? BI				2.86
England/PLYM-19EA9F6/2021	2021-07-23	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202129	OU472727	Homo sapiens	AY.4	One month ago	Europe		Lighthouse Laboratory et al				2.91
England/MILK-19FA498/2021	2021-07-24	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202129	OU483982	Homo sapiens	B.1.617.2	One month ago	Europe		The Lighthouse Lab in Milton et al B				3.14
England/MILK-1A3DF79/2021	2021-07-27	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202130	OU503897	Homo sapiens	B.1.617.2	One month ago	Europe		The Lighthouse Lab in Milton et al B				3.36
England/ALDP-166D606/2021	2021-06-07	8.00	21A (Delta)	United Kingdom		England	B.1.617.2 (Delta)	202123	OU340546	Homo sapiens	B.1.617.2	Older	Europe		Wynn et al B				
Scotland/QEUH-1871078/2021	2021-07-04	9.00	21A (Delta)	United Kingdom	0.00	Scotland	B.1.617.2 (Delta)	202127	OU431324	Homo sapiens	AY.4	Older	Europe		VanSteenhouse et al A				3.54
Switzerland/SG-CLM-06284880/2021	2021-06-28	8.00	21A (Delta)	Switzerland	0.00	Sankt Gallen	B.1.617.2 (Delta)	202126	OU407451	Homo sapiens	AY.4	Older	Europe		? BJ				3.54
England/ALDP-19E7F24/2021	2021-07-22	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202129	OU481575	Homo sapiens	B.1.617.2	One month ago	Europe		Wynn et al B				3.54
Scotland/QEUH-1694FB0/2021	2021-06-08	8.00	21A (Delta)	United Kingdom		Scotland	B.1.617.2 (Delta)	202123	OU346318	Homo sapiens	B.1.617.2	Older	Europe		VanSteenhouse et al A				
OU347717	2021-06-10	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202123	OU347717	Homo sapiens	AY.4	Older	Europe		? BK				
Wales/ALDP-1703944/2021	2021-06-13	8.00	21A (Delta)	United Kingdom	0.00	Wales	B.1.617.2 (Delta)	202124	OU355782	Homo sapiens	B.1.617.2	Older	Europe		Wynn et al B				
Scotland/QEUH-15BD064/2021	2021-05-24	8.00	21A (Delta)	United Kingdom		Scotland	B.1.617.2 (Delta)	202121	OU310528	Homo sapiens	B.1.617.2	Older	Europe		VanSteenhouse et al A				
Scotland/QEUH-165EB45/2021	2021-06-07	8.00	21A (Delta)	United Kingdom		Scotland	B.1.617.2 (Delta)	202123	OU329131	Homo sapiens	B.1.617.2	Older	Europe		VanSteenhouse et al A				
England/QEUH-17853F1/2021	2021-06-22	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202125	OU443192	Homo sapiens	B.1.617.2	Older	Europe		VanSteenhouse et al A				3.54
England/PLYM-1AE1897/2021	2021-08-04	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202131	OU544405	Homo sapiens	AY.4	One week ago	Europe		Lighthouse Laboratory et al				3.54
England/PLYM-19A2C00/2021	2021-07-20	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202129	OU457980	Homo sapiens	AY.4	Older	Europe		Lighthouse Laboratory et al				3.54
England/ALDP-1B9DFC1/2021	2021-08-13	9.00	21A (Delta)	United Kingdom	0.01	England	B.1.617.2 (Delta)	202132	OU579481	Homo sapiens	AY.4	3-7 days ago	Europe		Wynn et al B				3.54
England/BRBR-1849D72/2021	2021-07-02	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202126	OU424000	Homo sapiens	B.1.617.2	Older	Europe		Berkshire et al				3.54
Scotland/QEUH-194A54B/2021	2021-07-14	8.00	21A (Delta)	United Kingdom	0.00	Scotland	B.1.617.2 (Delta)	202128	OU454968	Homo sapiens	B.1.617.2	Older	Europe		VanSteenhouse et al A				3.54
Scotland/QEUH-165839E/2021	2021-06-07	8.00	21A (Delta)	United Kingdom		Scotland	B.1.617.2 (Delta)	202123	OU349646	Homo sapiens	B.1.617.2	Older	Europe		VanSteenhouse et al A				
England/ALDP-15D5BB0/2021	2021-05-26	8.00	21A (Delta)	United Kingdom		England	B.1.617.2 (Delta)	202121	OU302501	Homo sapiens	B.1.617.2	Older	Europe		Wynn et al B				
England/ALDP-15D2A2F/2021	2021-05-25	8.00	21A (Delta)	United Kingdom		England	B.1.617.2 (Delta)	202121	OU300287	Homo sapiens	AY.4	Older	Europe		Wynn et al B				
Scotland/QEUH-17C8CF7/2021	2021-06-25	8.00	21A (Delta)	United Kingdom	0.00	Scotland	B.1.617.2 (Delta)	202125	OU383493	Homo sapiens	AY.4	Older	Europe		VanSteenhouse et al A				3.54
England/ALDP-15D5A0E/2021	2021-05-27	8.00	21A (Delta)	United Kingdom		England	B.1.617.2 (Delta)	202121	OU302755	Homo sapiens	B.1.617.2	Older	Europe		Wynn et al B				
England/ALDP-1680737/2021	2021-06-07	8.00	21A (Delta)	United Kingdom		England	B.1.617.2 (Delta)	202123	OU344012	Homo sapiens	AY.4	Older	Europe		Wynn et al B				
Scotland/QEUH-173F693/2021	2021-06-18	8.00	21A (Delta)	United Kingdom	0.00	Scotland	B.1.617.2 (Delta)	202124	OU354622	Homo sapiens	B.1.617.2	Older	Europe		VanSteenhouse et al A				3.54
England/MILK-1AA0603/2021	2021-08-02	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202131	OU519632	Homo sapiens	B.1.617.2	One month ago	Europe		The Lighthouse Lab in Milton et al B				3.54
England/PLYM-1816215/2021	2021-06-29	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202126	OU408103	Homo sapiens	B.1.617.2	Older	Europe		Lighthouse Laboratory et al				3.54
Switzerland/ZH-UZH-IMV-3ba4dd23/2021	2021-08-12	8.00	21A (Delta)	Switzerland	0.01	Zürich	B.1.617.2 (Delta)	202132	OU576948	Homo sapiens	AY.4	3-7 days ago	Europe		? BL				3.54
England/QEUH-1BC34F0/2021	2021-08-14	8.00	21A (Delta)	United Kingdom	0.01	England	B.1.617.2 (Delta)	202132	OU583856	Homo sapiens	AY.4	3-7 days ago	Europe		VanSteenhouse et al A				3.54
England/ALDP-1A42005/2021	2021-07-26	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202130	OU502999	Homo sapiens	B.1.617.2	One month ago	Europe		Wynn et al B				3.54
OU447821	2021-07-07	10.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202127	OU447821	Homo sapiens	AY.4	Older	Europe		? BK				3.54
England/ALDP-1700CA8/2021	2021-06-15	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202124	OU342074	Homo sapiens	AY.4	Older	Europe		Wynn et al B				3.54
England/BRBR-1B10A6B/2021	2021-08-04	9.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202131	OU554836	Homo sapiens	AY.4	One week ago	Europe		Berkshire et al				3.54
England/ALDP-1600605/2021	2021-05-31	9.00	21A (Delta)	United Kingdom		England	B.1.617.2 (Delta)	202122	OU317947	Homo sapiens	B.1.617.2	Older	Europe		Wynn et al B				
Scotland/QEUH-1779439/2021	2021-06-22	9.00	21A (Delta)	United Kingdom	0.00	Scotland	B.1.617.2 (Delta)	202125	OU383676	Homo sapiens	AY.4	Older	Europe		VanSteenhouse et al A				3.54
England/ALDP-178D6E1/2021	2021-06-20	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202125	OU371996	Homo sapiens	B.1.617.2	Older	Europe		Wynn et al B				3.54
England/ALDP-1993EB1/2021	2021-07-18	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202129	OU460527	Homo sapiens	B.1.617.2	Older	Europe		Wynn et al B				3.54
OU420911	2021-05-29	8.00	21A (Delta)	United Kingdom		England	B.1.617.2 (Delta)	202121	OU420911	Homo sapiens	AY.4	Older	Europe		? BK				
England/MILK-1A9ABA3/2021	2021-08-01	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202131	OU522929	Homo sapiens	B.1.617.2	One month ago	Europe		The Lighthouse Lab in Milton et al B				3.54
England/QEUH-1A2B4F7/2021	2021-07-24	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202129	OU504428	Homo sapiens	AY.4	One month ago	Europe		VanSteenhouse et al A				3.54
England/ALDP-1748873/2021	2021-06-16	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202124	OU354643	Homo sapiens	AY.4	Older	Europe		Wynn et al B				3.54
England/ALDP-1AF16C7/2021	2021-08-03	9.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202131	OU536330	Homo sapiens	AY.4	One month ago	Europe		Wynn et al B				3.54
England/MILK-1B59310/2021	2021-08-09	8.00	21A (Delta)	United Kingdom	0.01	England	B.1.617.2 (Delta)	202132	OU549240	Homo sapiens	AY.4	One week ago	Europe		The Lighthouse Lab in Milton et al B				3.54
OU569872	2021-08-10	10.00	21A (Delta)	Germany	0.01	North Rhine Westphalia	B.1.617.2 (Delta)	202132	OU569872	Homo sapiens	AY.4	3-7 days ago	Europe		? C				3.54
England/QEUH-1B8A158/2021	2021-08-12	10.00	21A (Delta)	United Kingdom	0.01	England	B.1.617.2 (Delta)	202132	OU561427	Homo sapiens	B.1.617.2	One week ago	Europe		VanSteenhouse et al A				3.54
OU570042	2021-08-04	9.00	21A (Delta)	Germany	0.00	Rheinland-Pfalz	B.1.617.2 (Delta)	202131	OU570042	Homo sapiens	AY.4	3-7 days ago	Europe		? C				3.54
England/ALDP-1B8367E/2021	2021-08-12	9.00	21A (Delta)	United Kingdom	0.01	England	B.1.617.2 (Delta)	202132	OU561024	Homo sapiens	AY.4	One week ago	Europe		Wynn et al B				3.54
England/QEUH-1988C97/2021	2021-07-18	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202129	OU465298	Homo sapiens	AY.4	Older	Europe		VanSteenhouse et al A				3.54
Scotland/QEUH-1878114/2021	2021-07-05	8.00	21A (Delta)	United Kingdom	0.00	Scotland	B.1.617.2 (Delta)	202127	OU430920	Homo sapiens	B.1.617.2	Older	Europe		VanSteenhouse et al A				3.54
England/MILK-1A863C0/2021	2021-07-31	9.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202130	OU524178	Homo sapiens	B.1.617.2	One month ago	Europe		The Lighthouse Lab in Milton et al B				3.54
England/PLYM-1BE3BB9/2021	2021-08-16	8.00	21A (Delta)	United Kingdom	0.01	England	B.1.617.2 (Delta)	202133	OU584924	Homo sapiens	B.1.617.2	3-7 days ago	Europe		Lighthouse Laboratory et al				3.54
England/QEUH-17F7CB3/2021	2021-06-29	8.00	21A (Delta)	United Kingdom	0.00	England	B.1.617.2 (Delta)	202126	OU404831	Homo sapiens	B.1.617.2	Older	Europe		VanSteenhouse et al A				3.54
England/QEUH-1BCE4B9/2021	2021-08-15	8.00	21A (Delta)	United Kingdom	0.01	England	B.1.617.2 (Delta)	202133	OU582776	Homo sapiens	B.1.617.2	3-7 days ago	Europe		VanSteenhouse et al A				3.54
