Author	n (strains)	publication title	journal	publication URL	strains
Mohamed Seadawy et al	24	unknown	unknown	unknown	Egypt/ARMY-65/2021,Egypt/ARMY-310/2021,Egypt/ARMY-311/2021,Egypt/ARMY-59/2021,Egypt/ARMY-212/2021,Egypt/ARMY-215/2021,Egypt/ARMY-326/2021,Egypt/ARMY-297/2021,Egypt/ARMY-300/2021,Egypt/ARMY-304/2021,Egypt/ARMY-55/2021,Egypt/ARMY-52/2021,Egypt/ARMY-217/2021,Egypt/ARMY-53/2021,Egypt/ARMY-39/2021,Egypt/ARMY-34/2021,Egypt/ARMY-43/2021,Egypt/ARMY-31/2021,Egypt/ARMY-290/2021,Egypt/ARMY-264/2021,Egypt/ARMY-261/2021,Egypt/ARMY-29/2021,Egypt/ARMY-206/2021,Egypt/ARMY-249/2021
Yadouleton et al	3	Diagnostics and spread of SARS-CoV-2 in Western Africa: An observational laboratory-based study from Benin	unknown	https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1	Benin/2012/2020,Benin/1409/2020,Benin/1408/2020
Abdul Karim sesay et al	18	unknown	unknown	unknown	Gambia/19346/2021,Gambia/S-3039J/2020,Gambia/9605/2020,Gambia/NPHL_9550/2020,Gambia/NPHL_10533/2021,Gambia/5055/2021,Gambia/NPHL_10133/2021,Gambia/5022/2021,Gambia/NPHL_11084/2021,Gambia/GC19-2197/2020,Gambia/NPHL-1424/2020,Gambia/3683/2020,Gambia/19355/2021,Gambia/0754J/2021,Gambia/GC19-1606/2020,Gambia/024461/2021,Gambia/0735D/2021,Gambia/22136/2021
Wasfi Fares et al	13	unknown	unknown	unknown	Tunisia/SP-0347/2021,Tunisia/SP-0154/2021,Tunisia/SP-0362/2021,Tunisia/SP-0083/2021,Tunisia/SP-0377/2021,Tunisia/SP-0017/2021,Tunisia/SP-0382/2021,Tunisia/SP-0084/2021,Tunisia/SP-0089/2021,Tunisia/SP-0055/2021,Tunisia/SP-0378/2021,Tunisia/SP-0393/2021,Tunisia/SP-0343/2021
Yacouba Sawadogo et al	4	unknown	unknown	unknown	BurkinaFaso/7623/2021,BurkinaFaso/5696/2020,BurkinaFaso/113/2021,BurkinaFaso/7445/2021
Souleymane Mboup et al	6	unknown	unknown	unknown	Senegal/SN-IR1-0013954/2020,Senegal/SN-THI-21-036/2021,Senegal/SN-THI-20-1450/2020,Senegal/SN-IR5-002060/2020,Senegal/SN-IR2-0010667/2021,Senegal/SN-IR1-0016423/2021
Neta Zuckerman et al	31	unknown	unknown	unknown	Israel/CVL-n2775/2020,Israel/CVL-13511/2021,Israel/CVL-13538/2021,Israel/CVL-n4097/2020,Israel/CVL1195/2020,Israel/CVL-n1863/2020,Israel/CVL1808/2020,Israel/CVL-2773/2021,Israel/CVL-n896/2020,Israel/CVL-928ngs/2020,Israel/CVL-609ngs/2020,Israel/CVL-2045/2021,Israel/CVL-532ngs/2020,Israel/CVL-4779/2021,Israel/CVL-13245/2021,Israel/CVL-8320/2021,Israel/CVL-9115/2021,Israel/CVL-4073/2021,Israel/CVL-8543/2021,Israel/CVL-8698/2021,Israel/CVL-13385/2021,Israel/CVL-13314/2021,Israel/CVL-12162/2021,Israel/CVL-9782/2021,Israel/CVL-9950/2021,Israel/CVL-5283/2021,Israel/CVL-10875/2021,Israel/CVL-9349/2021,Israel/CVL-4242/2021,Israel/CVL-13370/2021,Israel/CVL-8808/2021
Sajjad Asaf et al	1	unknown	unknown	unknown	Oman/RESP-20-B-15349/2020
Adu et al	10	unknown	unknown	unknown	Ghana/NMIMR-NTRA-13166/2020,Ghana/NMIMR-NTRA-21-37127/2021,Ghana/NMIMR-TRA-21-13715/2021,Ghana/NMIMR-TRA-21-12870/2021,Ghana/NMIMR-NTRA-21-8945/2021,Ghana/NMIMR-TRA-21-13716/2021,Ghana/NMIMR-NTRA-21-37132/2021,Ghana/NMIMR-NTRA-21-19774/2021,Ghana/NMIMR-TRA-21-13645/2021,Ghana/NMIMR-NTRA-21-37138/2021
Victor M Corman et al A	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Germany/BY-ChVir-929/2020
Marion Barbet et al A	2	Genetic Diversity and Genomic Epidemiology of SARS-COV-2 in Morocco	unknown	https://dx.doi.org/10.1101/2020.06.23.165902	Morocco/6894/2020,Morocco/6901/2020
Souad KARTTI et al	1	unknown	unknown	unknown	Morocco/RMPS-23/2020
Naranzul Ts et al	13	unknown	unknown	unknown	Mongolia/3001/2020,Mongolia/3624/2020,Mongolia/7908/2020,Mongolia/29432/2020,Mongolia/149318/2020,Mongolia/181851/2020,Mongolia/19983/2021,Mongolia/54002/2021,Mongolia/3026/2021,Mongolia/125201/2021,Mongolia/106214/2021,Mongolia/142209/2021,Mongolia/170506/2021
Pablo Tsukayama et al	7	unknown	unknown	unknown	Peru/CAL-UPCH-0047/2020,Peru/LIM-UPCH-0117/2020,Peru/LIM-UPCH-0314/2020,Peru/LIM-UPCH-0357/2020,Peru/CAL-UPCH-0027/2020,Peru/AMA-UPCH-0255/2020,Peru/LIM-UPCH-0339/2020
Alexandra Popa et al B	4	Mutational dynamics and transmission properties of SARS-CoV-2 superspreading events in Austria	unknown	https://dx.doi.org/10.1101/2020.07.15.204339v1	Austria/CeMM0351/2020,Austria/CeMM0257/2020,Austria/CeMM0620/2020,Austria/CeMM0045/2020
Lukas Endler et al	31	unknown	unknown	unknown	Austria/CeMM1228/2020,Austria/CeMM1726/2020,Slovakia/CeMM3359/2020,Austria/CeMM2089/2021,Austria/CeMM4648/2021,env/Liechtenstein/CeMM3811/2021,env/Liechtenstein/CeMM3293/2021,env/Liechtenstein/CeMM3812/2021,Austria/CeMM4107/2021,Austria/CeMM2824/2020,Austria/CeMM5475/2020,Austria/CeMM3710/2021,Austria/CeMM3773/2021,Austria/CeMM3980/2021,Austria/CeMM4025/2021,Austria/CeMM1325/2020,Austria/CeMM4163/2021,env/Liechtenstein/CeMM4220/2021,env/Liechtenstein/CeMM5047/2021,Austria/CeMM7129/2021,Austria/CeMM8494/2021,Austria/CeMM8472/2021,env/Austria/CeMM8172/2021,env/Austria/CeMM8191/2021,Austria/CeMM8424/2021,Austria/CeMM7901/2021,Slovakia/CeMM4349/2021,Austria/CeMM8076/2021,Austria/CeMM4384/2021,Slovakia/CeMM4338/2021,Austria/CeMM4918/2021
Prystajecky Natalie et al	3	unknown	unknown	unknown	Canada/BC-BCCDC-4591/2020,Canada/BC-BCCDC-13529/2021,Canada/BC-BCCDC-3489/2020
Derly Andrade et al	1	unknown	unknown	unknown	Ecuador/USFQ-128/2020
Ivan Ivanov et al	2	unknown	unknown	unknown	Bulgaria/41/2020,Bulgaria/24/2020
Rawlinson et al	2	unknown	unknown	unknown	Australia/NSW2153/2020,Australia/NSW2410/2020
Fernández et al	9	unknown	unknown	unknown	Argentina/PAIS-G0074/2020,Argentina/PAIS-G0131/2020,Argentina/PAIS-G0142/2020,Argentina/PAIS-G0218/2021,Argentina/PAIS-G0213/2021,Argentina/PAIS-G0106/2020,Argentina/PAIS-G0216/2021,Argentina/PAIS-G0212/2021,Argentina/PAIS-G0219/2021
Ahmed Kandeil et al	3	unknown	unknown	unknown	Lebanon/LAU-R117/2020,Lebanon/LAU-R136/2020,Lebanon/LAU-R113/2020
Katarina Prosenc (Laboratory for Virology) et al	1	unknown	unknown	unknown	Slovenia/LabVir-2669/2020
Katherine Laiton-Donato et al A	2	Substitutions in Spike and Nucleocapsid proteins of SARS-CoV-2 circulating in Colombia	unknown	https://dx.doi.org/10.1101/2020.06.02.20120782	Colombia/SAN-INS-79752/2020,Colombia/TOL-INS-80202/2020
Loureiro CL et al	4	unknown	unknown	unknown	Venezuela/17M/2020,Venezuela/12MZ/2020,Venezuela/3NE/2020,Venezuela/11MZ/2020
Abi Habib et al	1	unknown	unknown	unknown	Lebanon/LB-R8/2020
Paola Resende et al	28	unknown	unknown	unknown	Bolivia/26953/2020,Honduras/19169/2021,Bolivia/26948/2020,Bolivia/26933/2020,Bolivia/26934/2020,Paraguay/33621/2020,Honduras/19156/2021,Honduras/19172/2021,Haiti/18256/2021,Paraguay/33626/2020,Honduras/19173/2021,Bahamas/10931/2021,Bolivia/26938/2020,Bolivia/26947/2020,Bolivia/26936/2020,Bolivia/26939/2020,Brazil/PR-FIOCRUZ-11659/2020,Brazil/RJ-FIOCRUZ-7634/2020,Paraguay/33612-R2/2020,Brazil/GO-FIOCRUZ-13742/2020,Brazil/AL-FIOCRUZ-4795/2021,Brazil/RS-FIOCRUZ-7363/2021,Brazil/SC-FIOCRUZ-19127/2021,Paraguay/33616/2020,Paraguay/33619/2020,Paraguay/33615/2020,Paraguay/33622/2020,Paraguay/33610/2020
Jasmina Vranes et al	4	unknown	unknown	unknown	Croatia/IGA-64-139848-P/2020,Croatia/52101_ID1647_18/2020,Croatia/IGA-48-86487/2020,Croatia/52109_ID1647_26/2020
Pavitra Roychoudhury et al	10	unknown	unknown	unknown	USA/WA-CDC-UW21050430759/2021,Colombia/ANT-UW-651262772201/2020,USA/WA-UW-60718/2021,USA/OR-UW-4409/2020,USA/WA-CDC-UW21050105804/2021,USA/WA-UW-68081/2021,Armenia/UW-ARM43/2020,Armenia/UW-ARM23/2020,Armenia/UW-ARM7/2020,USA/WA-CDC-UW21050490434/2021
Hicham EL ANNAZ et al	1	unknown	unknown	unknown	Morocco/HMIMV-Rabat1025-04/2020
Nadia Touil et al	1	unknown	unknown	unknown	Morocco/HMIMV_279CC/2020
Swedish national genomic surveillance program of SARS-CoV-2 et al	10	unknown	unknown	unknown	Sweden/9400150679/2020,Sweden/SE00165181/2021,Sweden/SE00164768/2021,Sweden/SE00185778/2021,Sweden/SE00193032/2021,Sweden/SE00192865/2021,Sweden/SE00186073/2021,Sweden/SE00161583/2021,Sweden/75676690R9/2021,Sweden/SE00211534/2021
Knezevic et al	10	unknown	unknown	unknown	Serbia/Belgrade-3021450402/2021,Serbia/Belgrade-2971790801/2021,Serbia/Belgrade-3021560402/2021,Serbia/Belgrade-J0138082101/2021,Serbia/Belgrade-C240660410/2020,Serbia/Belgrade-3080770503/2021,Serbia/Belgrade-6014870803/2021,Serbia/Belgrade-3053992102/2021,Serbia/Belgrade-6015680803/2021,Serbia/Belgrade-3054112102/2021
"Giovanni Savarese et al	6	unknown	unknown	unknown	Italy/CAM-AMES-9-11/2021,Italy/CAM-AMES_20_11/2021,Italy/CAM-AMES_22_35/2021,Italy/CAM-AMES-61-10/2021,Italy/CAM-AMES-27-60/2021,Italy/CAM-AMES-40-47/2021
Alexiev et al	27	unknown	unknown	unknown	Bulgaria/21BG-NC_A000040/2020,Bulgaria/21BG-EU_383_Pl5/2021,Bulgaria/21BG-NC_A000073/2020,Bulgaria/21BG-EU_000084_Pl1/2020,Bulgaria/21BG-EU_002510_Pl23/2021,Bulgaria/21BG-EU_001440_Pl14/2021,Bulgaria/21BG_COV_EU_001765_Pl17/2021,Bulgaria/21BG-NC_002054_R9/2021,Bulgaria/21BG-EU_002198_Pl21/2021,Bulgaria/21BG-NC_000571/2021,Bulgaria/21BG-EU_002342_Pl22/2021,Bulgaria/21BG-NC_A000182/2021,Bulgaria/21BG-NC_000597/2021,Bulgaria/21BG-NC_002466_R10/2021,Bulgaria/21BG-EU_002143_Pl20/2021,Bulgaria/21BG-EU_000802_Pl9/2021,Bulgaria/21BG-EU_002555_Pl23/2021,Bulgaria/21BG-EU_001094_Pl11/2021,Bulgaria/21BG-EU_000268_Pl3/2021,Bulgaria/21BG-EU_000067_Pl1/2021,Bulgaria/21BG-NC_002046_R9/2021,Bulgaria/21BG-EU_000927_Pl10/2021,Bulgaria/21BG-NC_001367_Run7/2021,Bulgaria/21BG-EU_002133_Pl20/2021,Bulgaria/21BG-NC_002464_R10/2021,Bulgaria/21BG_COV_EU_001920_Pl19/2021,Bulgaria/21BG-EU_000273_Pl3/2021
Bernadett Pályi et al	6	unknown	unknown	unknown	Hungary/7263_12/2021,Hungary/7287_29/2021,Hungary/6910_6/2021,Hungary/7386_27/2021,Hungary/7219_5/2021,Hungary/7216_23/2021
Helena Jirincova et al	6	unknown	unknown	unknown	CzechRepublic/NRL_24042_21/2021,CzechRepublic/NRL_2313_21/2021,CzechRepublic/NRL_1277_21/2021,CzechRepublic/NRL_5047/2021,CzechRepublic/NRL_4715/2021,CzechRepublic/NRL_3236_21/2021
Robert Belužić et al	2	unknown	unknown	unknown	Croatia/Zagreb-24/2020,Croatia/Zagreb-14/2020
Jernej Kovač et al	9	unknown	unknown	unknown	Slovenia/5C-006202-KP/2021,Slovenia/08-030555-MB/2021,Slovenia/08-027704-MB/2021,Slovenia/08-030070-MB/2021,Slovenia/08-072691-MB/2021,Slovenia/90-008224-NM/2021,Slovenia/17-020065-CE/2021,Slovenia/5C-005936-KP/2021,Slovenia/90-005108-NM/2021
Irena Tabain et al	13	unknown	unknown	unknown	Croatia/1160/2021,Croatia/HRV000_304/2021,Croatia/1136/2021,Croatia/HRV000_72/2021,Croatia/HRV000_6/2021,Croatia/653/2021,Croatia/HRV000_17/2021,Croatia/1436/2021,Croatia/HRV000_145/2021,Croatia/1579/2021,Croatia/1535/2021,Croatia/1551/2021,Croatia/HRV000_275/2021
Victor M Corman et al B	7	unknown	unknown	unknown	Montenegro/ChVir23234/2021,CzechRepublic/ChVir1630/2020,Montenegro/ChVir-1265622002/2020,Belarus/ChVir21832/2020,Ukraine/ChVir23535_9/2021,Ukraine/ChVir23535_100/2020,Montenegro/ChVir23207/2021
Goletic S. et al	2	unknown	unknown	unknown	BosniaandHerzegovina/VFS-UNSA-LMGFI032/2021,BosniaandHerzegovina/VFS-UNSA-LMGFI030/2021
Kuzmanovska Maja et al	2	unknown	unknown	unknown	NorthMacedonia/9135/2021,NorthMacedonia/12728/2021
Tim Roloff et al	6	unknown	unknown	unknown	Liechtenstein/UHB-4168696501/2020,Liechtenstein/UHB-4176542801/2020,Switzerland/BS-UHB-42489497/2020,Liechtenstein/FL-UHB-4198371701/2021,Switzerland/SO-UHB-42744439/2021,Switzerland/LU-UHB-42783237/2021
Chaoran Chen et al	10	unknown	unknown	unknown	Switzerland/BL-ETHZ-490039/2021,Switzerland/BE-ETHZ-460725/2021,Switzerland/BE-ETHZ-551371/2020,Switzerland/SH-ETHZ-470467/2021,Switzerland/ZH-ETHZ-481673/2021,Switzerland/GR-ETHZ-470897/2021,Switzerland/SG-ETHZ-521673/2021,Switzerland/LU-ETHZ-610576/2021,Switzerland/VS-ETHZ-601063/2021,Switzerland/SO-ETHZ-600759/2021
Alen Suljič et al	5	unknown	unknown	unknown	Slovenia/61817/2021,Slovenia/208074/2021,Slovenia/36919/2020,Slovenia/45667/2020,Slovenia/186450/2021
Gytis Dudas et al	6	unknown	unknown	unknown	Lithuania/ID7538/2021,Lithuania/ID7586/2021,Lithuania/ID7490/2021,Lithuania/ID7550/2021,Lithuania/S21D791/2021,Lithuania/S21D715/2021
Christophe Rodriguez et al	4	unknown	unknown	unknown	France/un-HMN-21022080162/2021,France/IDF-HMN-21052050537/2021,France/un-21012280510/2021,France/IDF-HMN-21032080906/2021
Jan Richter et al	8	unknown	unknown	unknown	Cyprus/Cy097095/2020,Cyprus/Cy063414/2020,Cyprus/Cy099835/2020,Cyprus/Cy167120/2021,Cyprus/Cy086241/2020,Cyprus/Cy145846/2020,Cyprus/Cy040694/2020,Cyprus/006/2020
?	18	unknown	unknown	unknown	Germany/SN-RKI-I-017374/2021,Germany/BW-RKI-I-014160/2021,Germany/NW-RKI-I-013154/2021,Germany/BW-RKI-I-048106/2021,Germany/HE-RKI-I-044326/2021,Germany/NW-RKI-I-095535/2021,Germany/un-RKI-I-060056/2021,Germany/NW-RKI-I-146406/2021,Germany/BW-RKI-I-050410/2021,Germany/NI-RKI-I-044373/2021,Germany/NW-RKI-I-122892/2021,Germany/TH-RKI-I-015559/2021,Germany/RP-RKI-I-043620/2021,Germany/NW-RKI-I-127847/2021,Germany/un-RKI-I-147176/2021,Germany/un-RKI-I-109568/2021,Germany/HH-RKI-I-081512/2021,Germany/un-RKI-I-060242/2021
Holmes et al	5	unknown	unknown	unknown	USA/OH-ODH-SC22472/2020,USA/OH-ODH-SC169310/2020,USA/OH-ODH-SC1052626/2021,USA/OH-ODH-SC1033719/2021,USA/OH-ODH-SC50307/2020
Ceballos et al	2	unknown	unknown	unknown	Argentina/PAIS-D0041/2020,Argentina/PAIS-D0004/2020
Lobiuc Andrei et al.	1	unknown	unknown	unknown	Romania/ROSV_12278/2020
Katherine Laiton-Donato et al B	30	unknown	unknown	unknown	Colombia/DC-INS-3334/2020,Colombia/DC-INS-2640/2020,Colombia/DC-INS-4283/2020,Colombia/DC-INS-2553/2020,Colombia/SUC-INS-VG-1150/2021,Colombia/DC-INS-VG-69/2020,Colombia/MET-INS-VG-1463/2021,Colombia/DC-INS-VG-1564/2021,Colombia/MAG-INS-VG-1588/2021,Colombia/DC-INS-VG-1512/2021,Colombia/SAN-INS-VG-2193/2021,Colombia/BOL-INS-VG-1989/2021,Colombia/HUI-INS-VG-1378/2021,Colombia/CAL-INS-VG-723/2021,Colombia/NAR-INS-VG-2360/2021,Colombia/ATL-INS-10/2020,Colombia/SAN-INS-VG-1415/2021,Colombia/AMA-INS-VG-1242/2021,Colombia/AMA-INS-VG-1195/2021,Colombia/AMA-INS-VG-1251/2021,Colombia/AMA-INS-VG-367/2021,Colombia/AMA-INS-VG-1249/2021,Colombia/AMA-INS-VG-1110/2021,Colombia/AMA-INS-VG-637/2021,Colombia/PUT-INS-VG-765/2020,Colombia/NAR-INS-VG-983/2021,Colombia/SAN-INS-VG-732/2021,Colombia/DC-INS-VG-71/2020,Colombia/HUI-INS-VG-1506/2021,Colombia/NAR-INS-VG-2345/2021
Andres F. Cardona-Rios et al	7	unknown	unknown	unknown	Colombia/ANT-CWOHC-VG-SEC00079A/2021,Colombia/ANT-CWOHC-VG-SEC00378N/2021,Colombia/ANT-CWOHC-VG-SEC00054B/2021,Colombia/ANT-CWOHC-VG-SEC00391A/2021,Colombia/ANT-CWOHC-VG-SEC00381Q/2021,Colombia/ANT-CWOHC-VG-SEC00132B/2021,Colombia/ANT-CWOHC-VG-SEC00151U/2021
Iglesias-Caballero et al	1	unknown	unknown	unknown	Andorra/202552/2020
Anthony LEVASSEUR et al	1	unknown	unknown	unknown	France/PAC-IHUCOVID-1031/2020
Salome Hosch et al	14	unknown	unknown	unknown	EquatorialGuinea/72677/2020,EquatorialGuinea/71591/2020,EquatorialGuinea/72487/2020,EquatorialGuinea/88435/2021,EquatorialGuinea/85185/2021,EquatorialGuinea/86375/2021,EquatorialGuinea/95772/2021,EquatorialGuinea/78388/2021,EquatorialGuinea/98283/2021,EquatorialGuinea/82371/2021,EquatorialGuinea/88132/2021,EquatorialGuinea/82418/2021,EquatorialGuinea/95774/2021,EquatorialGuinea/98273/2021
Peter Bauer et al	2	unknown	unknown	unknown	Romania/Cento-33532454/2020,Albania/Cento-30536457/2020
Wbeimar Aguilar-Jimenez et al	1	unknown	unknown	unknown	Colombia/ANT-UdeA-200325-01/2020
Antonio Rezusta López et al	2	unknown	unknown	unknown	Spain/AR-IBV-2395/2020,Spain/AR-IBV-98019649/2021
Endre Gábor Tóth et al	4	unknown	unknown	unknown	Hungary/MH-8268/2020,Hungary/US-57575w/2020,Hungary/UD-93822/2020,Hungary/HM-0123-102/2021
Claudia Wong-Arambula et al	91	unknown	unknown	unknown	Mexico/SON-InDRE_336/2020,Mexico/COA-InDRE_486/2021,Mexico/VER-InDRE_272/2020,Mexico/QUE-InDRE_402/2020,Mexico/GUA-InDRE_FB13887_S1848/2021,Mexico/CAM-InDRE_543/2021,Mexico/MIC-InDRE_390/2020,Mexico/CHP-InDRE_264/2020,Mexico/PUE-InDRE_190/2020,Mexico/SON-InDRE_135/2020,Mexico/TAM-InDRE_FB13204_S1698/2021,Mexico/COL-InDRE_FB11127_S1721/2021,Mexico/YUC-InDRE_504/2021,Mexico/CAM-InDRE_F12198_S1430/2021,Mexico/JAL-InDRE_438/2021,Mexico/BCS-InDRE_F10702_S592/2021,Mexico/BCN-InDRE_FB13740_S1819/2021,Mexico/SIN-InDRE_F11706_S908/2021,Mexico/ZAC-InDRE_FB13285_S1516/2021,Mexico/CHH-InDRE_FB13818_S1821/2021,Mexico/BCS-InDRE_F12238_S1205/2021,Mexico/BCN-InDRE_F13109_S1486/2021,Mexico/VER-InDRE_112/2021,Mexico/TAM-InDRE_F11051_S870/2021,Mexico/BCN-InDRE_F10697_S694/2021,Mexico/OAX-InDRE_535/2021,Mexico/ROO-InDRE_FB14102_S1784/2021,Mexico/ROO-InDRE_FB13723_S1787/2021,Mexico/GUA-InDRE_296/2020,Mexico/TAM-InDRE_F11751_S1097/2021,Mexico/JAL-InDRE_372/2021,Mexico/JAL-InDRE_F102G_S578/2021,Mexico/JAL-InDRE_F107G_S583/2021,Mexico/MEX-InDRE_263/2020,Mexico/OAX-InDRE_539/2021,Mexico/HID-InDRE_311/2020,Mexico/MEX-InDRE_259/2020,Mexico/MOR-InDRE_531/2021,Mexico/GRO-InDRE_385/2020,Mexico/HID-InDRE_481/2021,Mexico/GRO-InDRE_136/2020,Mexico/TAB-InDRE_446/2021,Mexico/HID-InDRE_F10300_S806/2021,Mexico/VER-InDRE_169/2020,Mexico/HID-InDRE_521/2021,Mexico/MOR-InDRE_525/2021,Mexico/GUA-InDRE_F10345_S629/2021,Mexico/CHP-InDRE_F11919_S1406/2021,Mexico/GRO-InDRE_FB13180_S1692/2021,Mexico/QUE-InDRE_FB12844_S1655/2021,Mexico/COL-InDRE_FB12960_S1532/2021,Mexico/JAL-InDRE_FB13973_S1959/2021,Mexico/BCS-InDRE_FB12883_S1529/2021,Mexico/BCS-InDRE_FB12888_S1530/2021,Mexico/TLA-InDRE_FB13373_S1888/2021,Mexico/PUE-InDRE_FB13101_S1551/2021,Mexico/QUE-InDRE_FB13500_S1906/2021,Mexico/COA-InDRE_F12230_S1433/2021,Mexico/CAM-InDRE_544/2021,Mexico/BCS-InDRE_F12244_S1434/2021,Mexico/MEX-InDRE_215/2021,Mexico/MOR-InDRE_526/2021,Mexico/HID-InDRE_FB13361_S1880/2021,Mexico/QUE-InDRE_FB13493_S1903/2021,Mexico/QUE-InDRE_FB13498_S1904/2021,Mexico/SON-InDRE_FB14301_S2013/2021,Mexico/CHH-InDRE_FB13244_S1703/2021,Mexico/TAB-InDRE_FB13054_S1621/2021,Mexico/GUA-InDRE_F10333_S628/2021,Mexico/GUA-InDRE_F12432_S1333/2021,Mexico/TAM-InDRE_FB13203_S1588/2021,Mexico/HID-InDRE_F12498_S1368/2021,Mexico/HID-InDRE_FB12660_S1625/2021,Mexico/MEX-InDRE_FD44713_S2014/2021,Mexico/CHH-InDRE_F12363_S1318/2021,Mexico/COL-InDRE_FB13480_S1895/2021,Mexico/MOR-InDRE_F11267_S1036/2021,Mexico/CHH-InDRE_F11012_S819/2021,Mexico/CHH-InDRE_F12153_S1276/2021,Mexico/OAX-InDRE_FB13219_S1699/2021,Mexico/GUA-InDRE_FB13912_S1980/2021,Mexico/NLE-InDRE_FB13349_S1871/2021,Mexico/MOR-InDRE_F10926_S760/2021,Mexico/QUE-InDRE_F11729_S1178/2021,Mexico/NAY-InDRE_FB13205_S1589/2021,Mexico/MIC-InDRE_F10346_S853/2021,Mexico/GRO-InDRE_F48G_S568/2021,Mexico/TAM-InDRE_244/2021,Mexico/TAM-InDRE_F112L_S571/2021,Mexico/OAX-InDRE_FB13216_S1507/2021,Mexico/BCN-InDRE_FB13738_S1741/2021
UNMC COVID-19 Response Team et al	1	unknown	unknown	unknown	USA/NE-CSSCH017/2020
Borja-Aburto VH et al	1	unknown	unknown	unknown	Mexico/BCS-IBT-IMSS-09/2020
Ernesto Ramirez-Gonzalez et al	7	unknown	unknown	unknown	Mexico/MIC-InDRE-74/2020,Mexico/COL-InDRE-76/2020,Mexico/OAX-InDRE-61/2020,Mexico/CHH-InDRE-47/2020,Mexico/MIC-InDRE-68/2020,Mexico/NAY-InDRE_28/2020,Mexico/GRO-InDRE-93/2020
Andrey Komissarov et al A	2	Genomic epidemiology of the early stages of SARS-CoV-2 outbreak in Russia	unknown	https://dx.doi.org/10.1101/2020.07.14.20150979	Russia/StPetersburg-RII5244S/2020,Russia/StPetersburg-RII5247S/2020
Edgar Mendieta-Condado et al	1	unknown	unknown	unknown	Mexico/SON-InDRE-103/2020
SEARCH Alliance San Diego with Idanya Rubi Serafin Higuera et al	2	unknown	unknown	unknown	Mexico/BCN-ALSR-8414/2020,Mexico/BCN-ALSR-8433/2020
Peter W. Cook et al	55	unknown	unknown	unknown	USA/UT-CDC-LC0012731/2021,USA/KY-CDC-LC0003469/2021,USA/DC-CDC-LC0017515/2021,USA/SC-CDC-STM-A100230/2021,USA/PA-CDC-LC0012123/2021,USA/MO-CDC-QDX21566948/2021,USA/DE-CDC-STM-000015282/2021,USA/PR-CDC-STM-000003673/2021,USA/ID-CDC-LC0004599/2021,USA/IN-CDC-STM-000007850/2021,USA/LA-CDC-QDX21760491/2021,USA/KS-CDC-QDX21606543/2021,USA/IL-CDC-LC0018117/2021,USA/TN-CDC-LC0013066/2021,USA/VA-CDC-LC0007409/2021,USA/VA-CDC-LC0018438/2021,USA/NC-CDC-STM-000027671/2021,USA/OK-CDC-STM-000003568/2021,USA/MO-CDC-QDX21566918/2021,USA/KY-CDC-STM-000007216/2021,USA/VA-CDC-LC0014775/2021,USA/OK-CDC-STM-000012382/2021,USA/AR-CDC-LC0008936/2021,USA/DC-CDC-LC0005995/2021,USA/NJ-CDC-QDX22293124/2021,USA/CT-CDC-LC0019275/2021,USA/GA-CDC-STM-000004276/2021,USA/AR-CDC-QDX21753473/2021,USA/SD-CDC-LC0008766/2021,USA/AZ-CDC-LC0013980/2021,USA/FL-CDC-STM-000022816/2021,USA/ME-CDC-QDX21864516/2021,USA/MO-CDC-QDX21674069/2021,USA/AR-CDC-LC0008742/2021,USA/ID-CDC-LC0011326/2021,USA/NY-CDC-LC0015132/2021,USA/OH-CDC-QDX22015999/2021,USA/CT-CDC-QDX22257245/2021,USA/NH-CDC-QDX22393963/2021,USA/RI-CDC-LC0006174/2021,USA/MS-CDC-QDX22360295/2021,USA/VA-CDC-LC0010847/2021,USA/AR-CDC-QDX21753935/2021,USA/MA-CDC-QDX22783955/2021,USA/NV-CDC-QDX21490291/2021,USA/HI-CDC-QDX21364802/2021,USA/LA-CDC-QDX22055834/2021,USA/MS-CDC-LC0021035/2021,USA/CT-CDC-LC0008978/2021,USA/UT-CDC-LC0018859/2021,USA/KY-CDC-LC0019937/2021,USA/VA-CDC-LC0022451/2021,USA/KS-CDC-LC0008647/2021,USA/MA-CDC-QDX22520191/2021,USA/FL-CDC-STM-000015442/2021
"R. Beukelman et al	3	unknown	unknown	unknown	USA/ID-IBL-709925/2021,USA/ID-IBL-704897/2021,USA/ID-IBL-706482/2021
